"","Entrez","Pathway","SYMBOL"
"mmu04625 C-type lectin receptor signaling pathway26","16362","C-type lectin receptor signaling pathway","Irf1"
"mmu04625 C-type lectin receptor signaling pathway27","16391","C-type lectin receptor signaling pathway","Irf9"
"mmu04625 C-type lectin receptor signaling pathway28","16438","C-type lectin receptor signaling pathway","Itpr1"
"mmu04625 C-type lectin receptor signaling pathway29","16439","C-type lectin receptor signaling pathway","Itpr2"
"mmu04625 C-type lectin receptor signaling pathway30","16440","C-type lectin receptor signaling pathway","Itpr3"
"mmu04625 C-type lectin receptor signaling pathway31","16476","C-type lectin receptor signaling pathway","Jun"
"mmu04625 C-type lectin receptor signaling pathway32","16653","C-type lectin receptor signaling pathway","Kras"
"mmu04625 C-type lectin receptor signaling pathway33","16706","C-type lectin receptor signaling pathway","Ksr1"
"mmu04625 C-type lectin receptor signaling pathway34","16985","C-type lectin receptor signaling pathway","Lsp1"
"mmu04625 C-type lectin receptor signaling pathway35","170776","C-type lectin receptor signaling pathway","Cd209c"
"mmu04625 C-type lectin receptor signaling pathway36","170779","C-type lectin receptor signaling pathway","Cd209d"
"mmu04625 C-type lectin receptor signaling pathway37","170780","C-type lectin receptor signaling pathway","Cd209e"
"mmu04625 C-type lectin receptor signaling pathway38","170786","C-type lectin receptor signaling pathway","Cd209a"
"mmu04625 C-type lectin receptor signaling pathway39","17164","C-type lectin receptor signaling pathway","Mapkapk2"
"mmu04625 C-type lectin receptor signaling pathway40","17246","C-type lectin receptor signaling pathway","Mdm2"
"mmu04625 C-type lectin receptor signaling pathway41","17474","C-type lectin receptor signaling pathway","Clec4d"
"mmu04625 C-type lectin receptor signaling pathway42","17532","C-type lectin receptor signaling pathway","Mras"
"mmu04625 C-type lectin receptor signaling pathway43","18018","C-type lectin receptor signaling pathway","Nfatc1"
"mmu04625 C-type lectin receptor signaling pathway44","18019","C-type lectin receptor signaling pathway","Nfatc2"
"mmu04625 C-type lectin receptor signaling pathway45","18021","C-type lectin receptor signaling pathway","Nfatc3"
"mmu04625 C-type lectin receptor signaling pathway46","18033","C-type lectin receptor signaling pathway","Nfkb1"
"mmu04625 C-type lectin receptor signaling pathway47","18034","C-type lectin receptor signaling pathway","Nfkb2"
"mmu04625 C-type lectin receptor signaling pathway48","18035","C-type lectin receptor signaling pathway","Nfkbia"
"mmu04625 C-type lectin receptor signaling pathway49","18176","C-type lectin receptor signaling pathway","Nras"
"mmu04625 C-type lectin receptor signaling pathway50","18479","C-type lectin receptor signaling pathway","Pak1"
"mmu04625 C-type lectin receptor signaling pathway51","18706","C-type lectin receptor signaling pathway","Pik3ca"
"mmu04625 C-type lectin receptor signaling pathway52","18707","C-type lectin receptor signaling pathway","Pik3cd"
"mmu04625 C-type lectin receptor signaling pathway53","18708","C-type lectin receptor signaling pathway","Pik3r1"
"mmu04625 C-type lectin receptor signaling pathway54","18709","C-type lectin receptor signaling pathway","Pik3r2"
"mmu04625 C-type lectin receptor signaling pathway55","18710","C-type lectin receptor signaling pathway","Pik3r3"
"mmu04625 C-type lectin receptor signaling pathway56","18753","C-type lectin receptor signaling pathway","Prkcd"
"mmu04625 C-type lectin receptor signaling pathway57","19055","C-type lectin receptor signaling pathway","Ppp3ca"
"mmu04625 C-type lectin receptor signaling pathway58","19056","C-type lectin receptor signaling pathway","Ppp3cb"
"mmu04625 C-type lectin receptor signaling pathway59","19057","C-type lectin receptor signaling pathway","Ppp3cc"
"mmu04625 C-type lectin receptor signaling pathway60","19058","C-type lectin receptor signaling pathway","Ppp3r1"
"mmu04625 C-type lectin receptor signaling pathway61","19059","C-type lectin receptor signaling pathway","Ppp3r2"
"mmu04625 C-type lectin receptor signaling pathway62","19094","C-type lectin receptor signaling pathway","Mapk11"
"mmu04625 C-type lectin receptor signaling pathway63","19225","C-type lectin receptor signaling pathway","Ptgs2"
"mmu04625 C-type lectin receptor signaling pathway64","19247","C-type lectin receptor signaling pathway","Ptpn11"
"mmu04625 C-type lectin receptor signaling pathway65","19697","C-type lectin receptor signaling pathway","Rela"
"mmu04625 C-type lectin receptor signaling pathway66","19698","C-type lectin receptor signaling pathway","Relb"
"mmu04625 C-type lectin receptor signaling pathway67","20130","C-type lectin receptor signaling pathway","Rras"
"mmu04625 C-type lectin receptor signaling pathway68","20295","C-type lectin receptor signaling pathway","Ccl17"
"mmu04625 C-type lectin receptor signaling pathway69","20299","C-type lectin receptor signaling pathway","Ccl22"
"mmu04625 C-type lectin receptor signaling pathway70","20779","C-type lectin receptor signaling pathway","Src"
"mmu04625 C-type lectin receptor signaling pathway71","20846","C-type lectin receptor signaling pathway","Stat1"
"mmu04625 C-type lectin receptor signaling pathway72","20847","C-type lectin receptor signaling pathway","Stat2"
"mmu04625 C-type lectin receptor signaling pathway73","208650","C-type lectin receptor signaling pathway","Cblb"
"mmu04625 C-type lectin receptor signaling pathway74","20963","C-type lectin receptor signaling pathway","Syk"
"mmu04625 C-type lectin receptor signaling pathway75","216799","C-type lectin receptor signaling pathway","Nlrp3"
"mmu04625 C-type lectin receptor signaling pathway76","21926","C-type lectin receptor signaling pathway","Tnf"
"mmu04625 C-type lectin receptor signaling pathway77","234779","C-type lectin receptor signaling pathway","Plcg2"
"mmu04625 C-type lectin receptor signaling pathway78","23797","C-type lectin receptor signaling pathway","Akt3"
"mmu04625 C-type lectin receptor signaling pathway79","239114","C-type lectin receptor signaling pathway","Il17d"
"mmu04625 C-type lectin receptor signaling pathway80","240354","C-type lectin receptor signaling pathway","Malt1"
"mmu04625 C-type lectin receptor signaling pathway81","26413","C-type lectin receptor signaling pathway","Mapk1"
"mmu04625 C-type lectin receptor signaling pathway82","26414","C-type lectin receptor signaling pathway","Mapk10"
"mmu04625 C-type lectin receptor signaling pathway83","26415","C-type lectin receptor signaling pathway","Mapk13"
"mmu04625 C-type lectin receptor signaling pathway84","26416","C-type lectin receptor signaling pathway","Mapk14"
"mmu04625 C-type lectin receptor signaling pathway85","26417","C-type lectin receptor signaling pathway","Mapk3"
"mmu04625 C-type lectin receptor signaling pathway86","26419","C-type lectin receptor signaling pathway","Mapk8"
"mmu04625 C-type lectin receptor signaling pathway87","26420","C-type lectin receptor signaling pathway","Mapk9"
"mmu04625 C-type lectin receptor signaling pathway88","29857","C-type lectin receptor signaling pathway","Mapk12"
"mmu04625 C-type lectin receptor signaling pathway89","332579","C-type lectin receptor signaling pathway","Card9"
"mmu04625 C-type lectin receptor signaling pathway90","381809","C-type lectin receptor signaling pathway","Clec4b2"
"mmu04625 C-type lectin receptor signaling pathway91","494124","C-type lectin receptor signaling pathway","Calm5"
"mmu04625 C-type lectin receptor signaling pathway92","53859","C-type lectin receptor signaling pathway","Map3k14"
"mmu04625 C-type lectin receptor signaling pathway93","56489","C-type lectin receptor signaling pathway","Ikbke"
"mmu04625 C-type lectin receptor signaling pathway94","56619","C-type lectin receptor signaling pathway","Clec4e"
"mmu04625 C-type lectin receptor signaling pathway95","56620","C-type lectin receptor signaling pathway","Clec4n"
"mmu04625 C-type lectin receptor signaling pathway96","56644","C-type lectin receptor signaling pathway","Clec7a"
"mmu04625 C-type lectin receptor signaling pathway97","56760","C-type lectin receptor signaling pathway","Clec1b"
"mmu04625 C-type lectin receptor signaling pathway98","66824","C-type lectin receptor signaling pathway","Pycard"
"mmu04625 C-type lectin receptor signaling pathway99","66922","C-type lectin receptor signaling pathway","Rras2"
"mmu04625 C-type lectin receptor signaling pathway100","67653","C-type lectin receptor signaling pathway","4930544G11Rik"
"mmu04625 C-type lectin receptor signaling pathway101","69142","C-type lectin receptor signaling pathway","Cd209f"
"mmu04625 C-type lectin receptor signaling pathway102","69165","C-type lectin receptor signaling pathway","Cd209b"
"mmu04625 C-type lectin receptor signaling pathway103","69632","C-type lectin receptor signaling pathway","Arhgef12"
"mmu04625 C-type lectin receptor signaling pathway104","69810","C-type lectin receptor signaling pathway","Clec4b1"
"mmu04625 C-type lectin receptor signaling pathway105","70192","C-type lectin receptor signaling pathway","Cd209g"
"mmu04625 C-type lectin receptor signaling pathway106","70405","C-type lectin receptor signaling pathway","Calml3"
"mmu04625 C-type lectin receptor signaling pathway107","73181","C-type lectin receptor signaling pathway","Nfatc4"
"mmu04625 C-type lectin receptor signaling pathway108","74256","C-type lectin receptor signaling pathway","Cyld"
"mmu04625 C-type lectin receptor signaling pathway109","74769","C-type lectin receptor signaling pathway","Pik3cb"
"mmu04625 C-type lectin receptor signaling pathway110","75600","C-type lectin receptor signaling pathway","Calml4"
"mmu04625 C-type lectin receptor signaling pathway111","80796","C-type lectin receptor signaling pathway","Calm4"
"mmu04625 C-type lectin receptor signaling pathway112","83430","C-type lectin receptor signaling pathway","Il23a"
"mmu04650 Natural killer cell mediated cytotoxicity1","109880","Natural killer cell mediated cytotoxicity","Braf"
"mmu04650 Natural killer cell mediated cytotoxicity2","110157","Natural killer cell mediated cytotoxicity","Raf1"
"mmu04650 Natural killer cell mediated cytotoxicity3","11836","Natural killer cell mediated cytotoxicity","Araf"
"mmu04650 Natural killer cell mediated cytotoxicity4","12122","Natural killer cell mediated cytotoxicity","Bid"
"mmu04650 Natural killer cell mediated cytotoxicity5","12367","Natural killer cell mediated cytotoxicity","Casp3"
"mmu04650 Natural killer cell mediated cytotoxicity6","12503","Natural killer cell mediated cytotoxicity","Cd247"
"mmu04650 Natural killer cell mediated cytotoxicity7","12506","Natural killer cell mediated cytotoxicity","Cd48"
"mmu04650 Natural killer cell mediated cytotoxicity8","12981","Natural killer cell mediated cytotoxicity","Csf2"
"mmu04650 Natural killer cell mediated cytotoxicity9","14102","Natural killer cell mediated cytotoxicity","Fas"
"mmu04650 Natural killer cell mediated cytotoxicity10","14103","Natural killer cell mediated cytotoxicity","Fasl"
"mmu04650 Natural killer cell mediated cytotoxicity11","14127","Natural killer cell mediated cytotoxicity","Fcer1g"
"mmu04650 Natural killer cell mediated cytotoxicity12","14360","Natural killer cell mediated cytotoxicity","Fyn"
"mmu04650 Natural killer cell mediated cytotoxicity13","14784","Natural killer cell mediated cytotoxicity","Grb2"
"mmu04650 Natural killer cell mediated cytotoxicity14","14939","Natural killer cell mediated cytotoxicity","Gzmb"
"mmu04650 Natural killer cell mediated cytotoxicity15","14964","Natural killer cell mediated cytotoxicity","H2-D1"
"mmu04650 Natural killer cell mediated cytotoxicity16","14972","Natural killer cell mediated cytotoxicity","H2-K1"
"mmu04650 Natural killer cell mediated cytotoxicity17","15040","Natural killer cell mediated cytotoxicity","H2-T23"
"mmu04650 Natural killer cell mediated cytotoxicity18","15101","Natural killer cell mediated cytotoxicity","H60a"
"mmu04650 Natural killer cell mediated cytotoxicity19","15170","Natural killer cell mediated cytotoxicity","Ptpn6"
"mmu04650 Natural killer cell mediated cytotoxicity20","15461","Natural killer cell mediated cytotoxicity","Hras"
"mmu04650 Natural killer cell mediated cytotoxicity21","15894","Natural killer cell mediated cytotoxicity","Icam1"
"mmu04650 Natural killer cell mediated cytotoxicity22","15896","Natural killer cell mediated cytotoxicity","Icam2"
"mmu04650 Natural killer cell mediated cytotoxicity23","15962","Natural killer cell mediated cytotoxicity","Ifna1"
"mmu04650 Natural killer cell mediated cytotoxicity24","15964","Natural killer cell mediated cytotoxicity","Ifna11"
"mmu04650 Natural killer cell mediated cytotoxicity25","15965","Natural killer cell mediated cytotoxicity","Ifna2"
"mmu04650 Natural killer cell mediated cytotoxicity26","15967","Natural killer cell mediated cytotoxicity","Ifna4"
"mmu04650 Natural killer cell mediated cytotoxicity27","15968","Natural killer cell mediated cytotoxicity","Ifna5"
"mmu04650 Natural killer cell mediated cytotoxicity28","15969","Natural killer cell mediated cytotoxicity","Ifna6"
"mmu04650 Natural killer cell mediated cytotoxicity29","15970","Natural killer cell mediated cytotoxicity","Ifna7"
"mmu04650 Natural killer cell mediated cytotoxicity30","15972","Natural killer cell mediated cytotoxicity","Ifna9"
"mmu04650 Natural killer cell mediated cytotoxicity31","15974","Natural killer cell mediated cytotoxicity","Ifnab"
"mmu04650 Natural killer cell mediated cytotoxicity32","15975","Natural killer cell mediated cytotoxicity","Ifnar1"
"mmu04650 Natural killer cell mediated cytotoxicity33","15976","Natural killer cell mediated cytotoxicity","Ifnar2"
"mmu04650 Natural killer cell mediated cytotoxicity34","15977","Natural killer cell mediated cytotoxicity","Ifnb1"
"mmu04650 Natural killer cell mediated cytotoxicity35","15978","Natural killer cell mediated cytotoxicity","Ifng"
"mmu04650 Natural killer cell mediated cytotoxicity36","15979","Natural killer cell mediated cytotoxicity","Ifngr1"
"mmu04650 Natural killer cell mediated cytotoxicity37","15980","Natural killer cell mediated cytotoxicity","Ifngr2"
"mmu04650 Natural killer cell mediated cytotoxicity38","16408","Natural killer cell mediated cytotoxicity","Itgal"
"mmu04650 Natural killer cell mediated cytotoxicity39","16414","Natural killer cell mediated cytotoxicity","Itgb2"
"mmu04650 Natural killer cell mediated cytotoxicity40","16415","Natural killer cell mediated cytotoxicity","Itgb2l"
"mmu04650 Natural killer cell mediated cytotoxicity41","16627","Natural killer cell mediated cytotoxicity","Klra1"
"mmu04650 Natural killer cell mediated cytotoxicity42","16634","Natural killer cell mediated cytotoxicity","Klra3"
"mmu04650 Natural killer cell mediated cytotoxicity43","16635","Natural killer cell mediated cytotoxicity","Klra4"
"mmu04650 Natural killer cell mediated cytotoxicity44","16638","Natural killer cell mediated cytotoxicity","Klra7"
"mmu04650 Natural killer cell mediated cytotoxicity45","16639","Natural killer cell mediated cytotoxicity","Klra8"
"mmu04650 Natural killer cell mediated cytotoxicity46","16640","Natural killer cell mediated cytotoxicity","Klra9"
"mmu04650 Natural killer cell mediated cytotoxicity47","16641","Natural killer cell mediated cytotoxicity","Klrc1"
"mmu04650 Natural killer cell mediated cytotoxicity48","16642","Natural killer cell mediated cytotoxicity","Klrc2"
"mmu04650 Natural killer cell mediated cytotoxicity49","16643","Natural killer cell mediated cytotoxicity","Klrd1"
"mmu04650 Natural killer cell mediated cytotoxicity50","16653","Natural killer cell mediated cytotoxicity","Kras"
"mmu04650 Natural killer cell mediated cytotoxicity51","16797","Natural killer cell mediated cytotoxicity","Lat"
"mmu04650 Natural killer cell mediated cytotoxicity52","16818","Natural killer cell mediated cytotoxicity","Lck"
"mmu04650 Natural killer cell mediated cytotoxicity53","16822","Natural killer cell mediated cytotoxicity","Lcp2"
"mmu04650 Natural killer cell mediated cytotoxicity54","17059","Natural killer cell mediated cytotoxicity","Klrb1c"
"mmu04650 Natural killer cell mediated cytotoxicity55","170758","Natural killer cell mediated cytotoxicity","Rac3"
